ProviderName,NHG,CountryCode,LoanType,ValidSince,Period,ProductName,Rate,CoverageEnd,CoverageStart,CheckDate
ING,N,NL,Lineaire hypotheek,2017-10-13,3 ,INGLineaire hypotheek,2.99,,101,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,5 ,INGLineaire hypotheek,2.0,80,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,5 ,INGLineaire hypotheek,2.05,85,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,5 ,INGLineaire hypotheek,2.1,90,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,5 ,INGLineaire hypotheek,2.15,95,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,5 ,INGLineaire hypotheek,2.35,101,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,5 ,INGLineaire hypotheek,3.05,,101,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,6 ,INGLineaire hypotheek,2.04,80,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,6 ,INGLineaire hypotheek,2.09,85,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,6 ,INGLineaire hypotheek,2.14,90,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,6 ,INGLineaire hypotheek,2.19,95,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,6 ,INGLineaire hypotheek,2.39,101,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,6 ,INGLineaire hypotheek,3.09,,101,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,7 ,INGLineaire hypotheek,2.07,80,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,7 ,INGLineaire hypotheek,2.12,85,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,7 ,INGLineaire hypotheek,2.17,90,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,7 ,INGLineaire hypotheek,2.22,95,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,7 ,INGLineaire hypotheek,2.42,101,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,7 ,INGLineaire hypotheek,3.12,,101,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,10 ,INGLineaire hypotheek,2.19,80,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,10 ,INGLineaire hypotheek,2.24,85,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,10 ,INGLineaire hypotheek,2.29,90,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,10 ,INGLineaire hypotheek,2.34,95,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,10 ,INGLineaire hypotheek,2.54,101,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,10 ,INGLineaire hypotheek,3.24,,101,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,12 ,INGLineaire hypotheek,2.8,80,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,12 ,INGLineaire hypotheek,2.85,85,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,12 ,INGLineaire hypotheek,2.9,90,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,12 ,INGLineaire hypotheek,2.95,95,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,12 ,INGLineaire hypotheek,3.15,101,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,12 ,INGLineaire hypotheek,3.85,,101,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,15 ,INGLineaire hypotheek,2.85,80,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,15 ,INGLineaire hypotheek,2.9,85,,2017-10-22
